1646508273 1857916052 {'positive': 1, 'negative': 0, 'total': 2}
1820061004 1854262562 {'positive': 1, 'negative': 0, 'total': 52}
1654683274 1854262562 {'positive': 1, 'negative': 0, 'total': 92}
1819943590 1854262562 {'positive': 1, 'negative': 0, 'total': 86}
1654746815 1854262562 {'positive': 0, 'negative': 1, 'total': 59}
1819969987 1854262562 {'positive': 0, 'negative': 1, 'total': 33}
1819152597 1854262562 {'positive': 2, 'negative': 2, 'total': 107}
1819069217 1854262562 {'positive': 0, 'negative': 1, 'total': 33}
1654876897 1854262562 {'positive': 1, 'negative': 0, 'total': 28}
1820795074 1854262562 {'positive': 1, 'negative': 0, 'total': 23}
1819904701 1854262562 {'positive': 1, 'negative': 0, 'total': 14}
1820061015 1854262562 {'positive': 1, 'negative': 0, 'total': 35}
1654643454 1854262562 {'positive': 1, 'negative': 0, 'total': 52}
1819897885 1854262562 {'positive': 1, 'negative': 0, 'total': 44}
1654676815 1854262562 {'positive': 1, 'negative': 0, 'total': 178}
1654849555 1854262562 {'positive': 1, 'negative': 0, 'total': 133}
1654738827 1854262562 {'positive': 0, 'negative': 1, 'total': 51}
1656274530 1854262562 {'positive': 0, 'negative': 1, 'total': 10}
1654689644 1854262562 {'positive': 1, 'negative': 0, 'total': 24}
1819956777 1854262562 {'positive': 0, 'negative': 1, 'total': 62}
1820047181 1854262562 {'positive': 1, 'negative': 0, 'total': 52}
1654830640 1854262562 {'positive': 0, 'negative': 1, 'total': 65}
1654671683 1854262562 {'positive': 2, 'negative': 0, 'total': 64}
1654773857 1854262562 {'positive': 1, 'negative': 1, 'total': 126}
1654785970 1854262562 {'positive': 1, 'negative': 0, 'total': 63}
1654764004 1854262562 {'positive': 0, 'negative': 1, 'total': 49}
1654799492 1854262562 {'positive': 0, 'negative': 1, 'total': 85}
1819954871 1854262562 {'positive': 1, 'negative': 0, 'total': 78}
1819924201 1854262562 {'positive': 1, 'negative': 0, 'total': 57}
1654657755 1854262562 {'positive': 1, 'negative': 0, 'total': 38}
1819941633 1854262562 {'positive': 1, 'negative': 0, 'total': 150}
1820041880 1854262562 {'positive': 2, 'negative': 0, 'total': 67}
1654686192 1854262562 {'positive': 2, 'negative': 1, 'total': 143}
1819972413 1854262562 {'positive': 1, 'negative': 0, 'total': 39}
1654782224 1854262562 {'positive': 1, 'negative': 0, 'total': 68}
1820002303 1854262562 {'positive': 1, 'negative': 0, 'total': 48}
1820015641 1854262562 {'positive': 0, 'negative': 1, 'total': 58}
1819925303 1854262562 {'positive': 1, 'negative': 0, 'total': 50}
1819035447 1854262562 {'positive': 1, 'negative': 0, 'total': 49}
1654837130 1854262562 {'positive': 1, 'negative': 0, 'total': 53}
1654716992 1854262562 {'positive': 0, 'negative': 1, 'total': 28}
1819083837 1854262562 {'positive': 1, 'negative': 1, 'total': 39}
1820039981 1854262562 {'positive': 1, 'negative': 0, 'total': 67}
1654627280 1854262562 {'positive': 1, 'negative': 0, 'total': 32}
1820789477 1854262562 {'positive': 0, 'negative': 1, 'total': 17}
1819891077 1854262562 {'positive': 0, 'negative': 1, 'total': 30}
1654764052 1854262562 {'positive': 1, 'negative': 0, 'total': 24}
1690818301 1854262562 {'positive': 1, 'negative': 0, 'total': 12}
1690998143 1854262562 {'positive': 0, 'negative': 1, 'total': 11}
1692872012 1854262562 {'positive': 1, 'negative': 0, 'total': 5}
1690925933 1854262562 {'positive': 1, 'negative': 0, 'total': 16}
1688979394 1854262562 {'positive': 1, 'negative': 0, 'total': 13}
1689117087 1854262562 {'positive': 1, 'negative': 0, 'total': 2}
1690873222 1854262562 {'positive': 1, 'negative': 0, 'total': 1}
1688974433 1854262562 {'positive': 1, 'negative': 0, 'total': 31}
1690681382 1854262562 {'positive': 1, 'negative': 0, 'total': 7}
1691057292 1854262562 {'positive': 1, 'negative': 0, 'total': 11}
1689163755 1854262562 {'positive': 1, 'negative': 0, 'total': 10}
1692820142 1854262562 {'positive': 1, 'negative': 0, 'total': 3}
1690741923 1854262562 {'positive': 1, 'negative': 0, 'total': 7}
1689030774 1854262562 {'positive': 0, 'negative': 1, 'total': 19}
1688988812 1854262562 {'positive': 1, 'negative': 0, 'total': 13}
1642394201 1241305362 {'positive': 1, 'negative': 0, 'total': 4}
1648795891 1241305362 {'positive': 1, 'negative': 1, 'total': 2}
1808009503 1241305362 {'positive': 1, 'negative': 0, 'total': 12}
1808057183 1241305362 {'positive': 2, 'negative': 0, 'total': 12}
1808064144 1241305362 {'positive': 1, 'negative': 0, 'total': 48}
1808852433 1241305362 {'positive': 1, 'negative': 0, 'total': 11}
1808061480 1241305362 {'positive': 2, 'negative': 0, 'total': 17}
1807951980 1241305362 {'positive': 1, 'negative': 0, 'total': 10}
1648706284 1241305362 {'positive': 1, 'negative': 0, 'total': 51}
1648774092 1241305362 {'positive': 2, 'negative': 0, 'total': 4}
1807967524 1241305362 {'positive': 1, 'negative': 0, 'total': 15}
1648481877 1241305362 {'positive': 1, 'negative': 0, 'total': 15}
1808004232 1241305362 {'positive': 2, 'negative': 0, 'total': 22}
1808786514 1241305362 {'positive': 1, 'negative': 0, 'total': 9}
1654634014 1241305362 {'positive': 4, 'negative': 2, 'total': 87}
1654725222 1241305362 {'positive': 3, 'negative': 1, 'total': 134}
1819997713 1241305362 {'positive': 1, 'negative': 0, 'total': 66}
1819943403 1241305362 {'positive': 1, 'negative': 0, 'total': 65}
1654760012 1241305362 {'positive': 1, 'negative': 0, 'total': 22}
1819991334 1241305362 {'positive': 2, 'negative': 0, 'total': 6}
1654674493 1241305362 {'positive': 1, 'negative': 0, 'total': 58}
1654692573 1241305362 {'positive': 1, 'negative': 0, 'total': 94}
1654801800 1241305362 {'positive': 1, 'negative': 0, 'total': 19}
1819015441 1241305362 {'positive': 1, 'negative': 0, 'total': 30}
1819892463 1241305362 {'positive': 1, 'negative': 0, 'total': 67}
1654726430 1241305362 {'positive': 1, 'negative': 0, 'total': 36}
1654872714 1241305362 {'positive': 1, 'negative': 0, 'total': 71}
1820009687 1241305362 {'positive': 1, 'negative': 0, 'total': 65}
1654665185 1241305362 {'positive': 1, 'negative': 0, 'total': 36}
1654764833 1241305362 {'positive': 1, 'negative': 0, 'total': 48}
1820030401 1241305362 {'positive': 1, 'negative': 0, 'total': 97}
1819056943 1241305362 {'positive': 2, 'negative': 0, 'total': 60}
1654791890 1241305362 {'positive': 1, 'negative': 0, 'total': 13}
1654793254 1241305362 {'positive': 1, 'negative': 0, 'total': 190}
1654790250 1241305362 {'positive': 1, 'negative': 0, 'total': 67}
1819916884 1241305362 {'positive': 1, 'negative': 0, 'total': 30}
1819932287 1241305362 {'positive': 0, 'negative': 1, 'total': 67}
1819979921 1241305362 {'positive': 1, 'negative': 0, 'total': 48}
1690993295 1241305362 {'positive': 0, 'negative': 1, 'total': 6}
1689174205 1241305362 {'positive': 3, 'negative': 0, 'total': 8}
1692740467 1241305362 {'positive': 1, 'negative': 0, 'total': 25}
1689025945 1241305362 {'positive': 2, 'negative': 0, 'total': 10}
1690991213 1241305362 {'positive': 1, 'negative': 0, 'total': 10}
1690741403 1241305362 {'positive': 1, 'negative': 0, 'total': 29}
1689106873 1241305362 {'positive': 2, 'negative': 0, 'total': 11}
1689120485 1241305362 {'positive': 1, 'negative': 0, 'total': 21}
1690614447 1241305362 {'positive': 1, 'negative': 0, 'total': 23}
1690711074 1241305362 {'positive': 1, 'negative': 0, 'total': 5}
1642755131 1420174783 {'positive': 1, 'negative': 0, 'total': 1}
1648747920 1420174783 {'positive': 1, 'negative': 1, 'total': 17}
1654865553 1420174783 {'positive': 4, 'negative': 0, 'total': 48}
1654879774 1420174783 {'positive': 3, 'negative': 0, 'total': 25}
1819892463 1420174783 {'positive': 1, 'negative': 0, 'total': 67}
1654824104 1420174783 {'positive': 1, 'negative': 0, 'total': 32}
1654828243 1420174783 {'positive': 0, 'negative': 1, 'total': 118}
1692769160 1420174783 {'positive': 3, 'negative': 0, 'total': 18}
1692838821 1420174783 {'positive': 1, 'negative': 0, 'total': 23}
1690980825 1420174783 {'positive': 3, 'negative': 1, 'total': 23}
1689149821 1420174783 {'positive': 1, 'negative': 0, 'total': 13}
1642801347 2049998295 {'positive': 1, 'negative': 0, 'total': 1}
1808836163 2049998295 {'positive': 1, 'negative': 0, 'total': 2}
1648466690 2049998295 {'positive': 2, 'negative': 0, 'total': 19}
1648594497 2049998295 {'positive': 1, 'negative': 0, 'total': 22}
1808828564 2049998295 {'positive': 1, 'negative': 0, 'total': 20}
1648563991 2049998295 {'positive': 1, 'negative': 0, 'total': 5}
1819081464 2049998295 {'positive': 1, 'negative': 0, 'total': 48}
1820012364 2049998295 {'positive': 1, 'negative': 0, 'total': 81}
1820053394 2049998295 {'positive': 1, 'negative': 0, 'total': 35}
1819045984 2049998295 {'positive': 1, 'negative': 1, 'total': 89}
1654742192 2049998295 {'positive': 1, 'negative': 0, 'total': 48}
1820041880 2049998295 {'positive': 1, 'negative': 0, 'total': 67}
1654651333 2049998295 {'positive': 1, 'negative': 0, 'total': 37}
1820001335 2049998295 {'positive': 1, 'negative': 0, 'total': 24}
1819954871 2049998295 {'positive': 1, 'negative': 0, 'total': 78}
1820050655 2049998295 {'positive': 1, 'negative': 0, 'total': 48}
1819105175 2049998295 {'positive': 1, 'negative': 0, 'total': 29}
1819994951 2049998295 {'positive': 1, 'negative': 0, 'total': 19}
1654701884 2049998295 {'positive': 1, 'negative': 0, 'total': 62}
1819971785 2049998295 {'positive': 1, 'negative': 0, 'total': 19}
1819889424 2049998295 {'positive': 1, 'negative': 0, 'total': 27}
1689172933 2049998295 {'positive': 1, 'negative': 0, 'total': 23}
1690923417 2049998295 {'positive': 2, 'negative': 0, 'total': 21}
1689136983 2049998295 {'positive': 1, 'negative': 0, 'total': 8}
1689148483 2049998295 {'positive': 0, 'negative': 1, 'total': 25}
1690882524 2049998295 {'positive': 1, 'negative': 0, 'total': 10}
1689011372 2049998295 {'positive': 0, 'negative': 1, 'total': 18}
1642534025 1769867744 {'positive': 1, 'negative': 0, 'total': 1}
1808839250 1769867744 {'positive': 0, 'negative': 1, 'total': 34}
1648531812 1769867744 {'positive': 1, 'negative': 0, 'total': 30}
1807986404 1769867744 {'positive': 1, 'negative': 0, 'total': 69}
1648752055 1769867744 {'positive': 1, 'negative': 0, 'total': 24}
1648552584 1769867744 {'positive': 1, 'negative': 0, 'total': 38}
1648690775 1769867744 {'positive': 1, 'negative': 0, 'total': 14}
1807956540 1769867744 {'positive': 1, 'negative': 0, 'total': 20}
1808023042 1769867744 {'positive': 1, 'negative': 0, 'total': 12}
1819033803 1769867744 {'positive': 0, 'negative': 2, 'total': 24}
1654707807 1769867744 {'positive': 1, 'negative': 0, 'total': 56}
1654824987 1769867744 {'positive': 1, 'negative': 0, 'total': 18}
1654826392 1769867744 {'positive': 0, 'negative': 1, 'total': 24}
1654799583 1769867744 {'positive': 1, 'negative': 0, 'total': 32}
1654780991 1769867744 {'positive': 0, 'negative': 1, 'total': 43}
1819090310 1769867744 {'positive': 0, 'negative': 2, 'total': 12}
1819916884 1769867744 {'positive': 1, 'negative': 0, 'total': 30}
1819889171 1769867744 {'positive': 1, 'negative': 0, 'total': 32}
1819069085 1769867744 {'positive': 1, 'negative': 0, 'total': 13}
1820000443 1769867744 {'positive': 1, 'negative': 0, 'total': 59}
1820017757 1769867744 {'positive': 1, 'negative': 0, 'total': 65}
1654871854 1769867744 {'positive': 1, 'negative': 0, 'total': 48}
1819893231 1769867744 {'positive': 0, 'negative': 1, 'total': 29}
1654691057 1769867744 {'positive': 1, 'negative': 0, 'total': 55}
1654792824 1769867744 {'positive': 0, 'negative': 1, 'total': 35}
1654871030 1769867744 {'positive': 1, 'negative': 0, 'total': 21}
1819913817 1769867744 {'positive': 1, 'negative': 0, 'total': 12}
1654734360 1769867744 {'positive': 1, 'negative': 0, 'total': 20}
1819992491 1769867744 {'positive': 1, 'negative': 0, 'total': 23}
1654665084 1769867744 {'positive': 1, 'negative': 0, 'total': 54}
1690939215 1769867744 {'positive': 1, 'negative': 0, 'total': 15}
1691050525 1769867744 {'positive': 1, 'negative': 0, 'total': 29}
1689143952 1769867744 {'positive': 1, 'negative': 0, 'total': 23}
1690677982 1769867744 {'positive': 1, 'negative': 0, 'total': 21}
1692740962 1769867744 {'positive': 1, 'negative': 0, 'total': 2}
1642612942 1642482194 {'positive': 0, 'negative': 1, 'total': 1}
1642485104 1642482194 {'positive': 1, 'negative': 0, 'total': 3}
1642529130 1642482194 {'positive': 0, 'negative': 1, 'total': 2}
1642558095 1642482194 {'positive': 1, 'negative': 0, 'total': 1}
1642555671 1642482194 {'positive': 0, 'negative': 1, 'total': 3}
1646522672 1642482194 {'positive': 1, 'negative': 0, 'total': 3}
1807925742 1642482194 {'positive': 2, 'negative': 0, 'total': 14}
1648733907 1642482194 {'positive': 0, 'negative': 1, 'total': 34}
1808065362 1642482194 {'positive': 0, 'negative': 1, 'total': 9}
1808831860 1642482194 {'positive': 1, 'negative': 0, 'total': 34}
1648639937 1642482194 {'positive': 0, 'negative': 1, 'total': 4}
1808785051 1642482194 {'positive': 1, 'negative': 0, 'total': 8}
1648570081 1642482194 {'positive': 1, 'negative': 0, 'total': 25}
1808814424 1642482194 {'positive': 1, 'negative': 0, 'total': 28}
1648684111 1642482194 {'positive': 1, 'negative': 0, 'total': 13}
1807924895 1642482194 {'positive': 1, 'negative': 0, 'total': 27}
1648369191 1642482194 {'positive': 1, 'negative': 0, 'total': 18}
1807948524 1642482194 {'positive': 1, 'negative': 0, 'total': 10}
1648454075 1642482194 {'positive': 1, 'negative': 0, 'total': 2}
1648455952 1642482194 {'positive': 1, 'negative': 0, 'total': 20}
1807956123 1642482194 {'positive': 1, 'negative': 0, 'total': 16}
1807964582 1642482194 {'positive': 1, 'negative': 0, 'total': 17}
1807976462 1642482194 {'positive': 1, 'negative': 0, 'total': 21}
1648496513 1642482194 {'positive': 1, 'negative': 0, 'total': 16}
1807998083 1642482194 {'positive': 1, 'negative': 0, 'total': 38}
1648565697 1642482194 {'positive': 1, 'negative': 0, 'total': 3}
1648582927 1642482194 {'positive': 1, 'negative': 0, 'total': 42}
1808051640 1642482194 {'positive': 1, 'negative': 0, 'total': 12}
1808056405 1642482194 {'positive': 1, 'negative': 0, 'total': 36}
1648701560 1642482194 {'positive': 1, 'negative': 0, 'total': 26}
1808789532 1642482194 {'positive': 1, 'negative': 0, 'total': 19}
1648698437 1642482194 {'positive': 1, 'negative': 0, 'total': 15}
1648723144 1642482194 {'positive': 1, 'negative': 0, 'total': 30}
1808804582 1642482194 {'positive': 1, 'negative': 0, 'total': 38}
1648729651 1642482194 {'positive': 1, 'negative': 0, 'total': 28}
1648748542 1642482194 {'positive': 1, 'negative': 0, 'total': 27}
1648773122 1642482194 {'positive': 1, 'negative': 0, 'total': 13}
1648785244 1642482194 {'positive': 1, 'negative': 0, 'total': 12}
1808046722 1642482194 {'positive': 1, 'negative': 0, 'total': 17}
1648598667 1642482194 {'positive': 1, 'negative': 0, 'total': 33}
1648410401 1642482194 {'positive': 1, 'negative': 0, 'total': 15}
1808859241 1642482194 {'positive': 1, 'negative': 0, 'total': 4}
1654716854 1642482194 {'positive': 1, 'negative': 0, 'total': 46}
1819955390 1642482194 {'positive': 1, 'negative': 0, 'total': 88}
1819977653 1642482194 {'positive': 0, 'negative': 1, 'total': 5}
1654773097 1642482194 {'positive': 1, 'negative': 1, 'total': 50}
1654684622 1642482194 {'positive': 1, 'negative': 0, 'total': 33}
1654680060 1642482194 {'positive': 1, 'negative': 0, 'total': 43}
1820791181 1642482194 {'positive': 1, 'negative': 0, 'total': 29}
1819050845 1642482194 {'positive': 1, 'negative': 0, 'total': 91}
1654799492 1642482194 {'positive': 1, 'negative': 0, 'total': 85}
1654798781 1642482194 {'positive': 1, 'negative': 0, 'total': 15}
1654803503 1642482194 {'positive': 1, 'negative': 0, 'total': 54}
1654846235 1642482194 {'positive': 0, 'negative': 1, 'total': 49}
1819106083 1642482194 {'positive': 3, 'negative': 0, 'total': 46}
1819934483 1642482194 {'positive': 1, 'negative': 0, 'total': 32}
1654793181 1642482194 {'positive': 1, 'negative': 1, 'total': 83}
1654810804 1642482194 {'positive': 1, 'negative': 0, 'total': 34}
1654879693 1642482194 {'positive': 0, 'negative': 3, 'total': 89}
1654759703 1642482194 {'positive': 2, 'negative': 0, 'total': 125}
1654686192 1642482194 {'positive': 1, 'negative': 0, 'total': 143}
1819954537 1642482194 {'positive': 1, 'negative': 0, 'total': 5}
1820041880 1642482194 {'positive': 0, 'negative': 1, 'total': 67}
1654667045 1642482194 {'positive': 1, 'negative': 0, 'total': 126}
1819979921 1642482194 {'positive': 1, 'negative': 0, 'total': 48}
1654717777 1642482194 {'positive': 4, 'negative': 0, 'total': 112}
1654784493 1642482194 {'positive': 2, 'negative': 0, 'total': 38}
1654863421 1642482194 {'positive': 2, 'negative': 2, 'total': 58}
1654872630 1642482194 {'positive': 1, 'negative': 0, 'total': 61}
1820001871 1642482194 {'positive': 3, 'negative': 1, 'total': 56}
1654682904 1642482194 {'positive': 0, 'negative': 1, 'total': 104}
1654683760 1642482194 {'positive': 1, 'negative': 0, 'total': 104}
1654676815 1642482194 {'positive': 1, 'negative': 4, 'total': 178}
1654690732 1642482194 {'positive': 1, 'negative': 0, 'total': 23}
1819891703 1642482194 {'positive': 1, 'negative': 0, 'total': 45}
1654715720 1642482194 {'positive': 1, 'negative': 0, 'total': 85}
1654725834 1642482194 {'positive': 1, 'negative': 0, 'total': 40}
1654762133 1642482194 {'positive': 1, 'negative': 0, 'total': 53}
1654762175 1642482194 {'positive': 1, 'negative': 0, 'total': 83}
1654762943 1642482194 {'positive': 1, 'negative': 0, 'total': 59}
1654773202 1642482194 {'positive': 1, 'negative': 0, 'total': 58}
1654792824 1642482194 {'positive': 2, 'negative': 0, 'total': 35}
1654797581 1642482194 {'positive': 2, 'negative': 3, 'total': 82}
1654795904 1642482194 {'positive': 1, 'negative': 1, 'total': 92}
1820012364 1642482194 {'positive': 1, 'negative': 0, 'total': 81}
1654825102 1642482194 {'positive': 1, 'negative': 0, 'total': 27}
1654822245 1642482194 {'positive': 2, 'negative': 0, 'total': 85}
1820034563 1642482194 {'positive': 1, 'negative': 0, 'total': 39}
1654842270 1642482194 {'positive': 1, 'negative': 0, 'total': 43}
1654837130 1642482194 {'positive': 2, 'negative': 0, 'total': 53}
1820042661 1642482194 {'positive': 1, 'negative': 0, 'total': 45}
1654850093 1642482194 {'positive': 3, 'negative': 0, 'total': 59}
1654852170 1642482194 {'positive': 1, 'negative': 0, 'total': 19}
1820047093 1642482194 {'positive': 1, 'negative': 0, 'total': 12}
1820047271 1642482194 {'positive': 1, 'negative': 0, 'total': 79}
1654872754 1642482194 {'positive': 1, 'negative': 0, 'total': 80}
1654738165 1642482194 {'positive': 1, 'negative': 0, 'total': 34}
1819982897 1642482194 {'positive': 1, 'negative': 0, 'total': 81}
1654829870 1642482194 {'positive': 0, 'negative': 1, 'total': 68}
1820025795 1642482194 {'positive': 1, 'negative': 0, 'total': 111}
1820789477 1642482194 {'positive': 1, 'negative': 0, 'total': 17}
1819954871 1642482194 {'positive': 1, 'negative': 0, 'total': 78}
1654816430 1642482194 {'positive': 0, 'negative': 1, 'total': 73}
1654651333 1642482194 {'positive': 0, 'negative': 1, 'total': 37}
1654763683 1642482194 {'positive': 1, 'negative': 0, 'total': 13}
1656259673 1642482194 {'positive': 2, 'negative': 0, 'total': 45}
1654796367 1642482194 {'positive': 1, 'negative': 0, 'total': 60}
1654657755 1642482194 {'positive': 0, 'negative': 2, 'total': 38}
1654757755 1642482194 {'positive': 0, 'negative': 1, 'total': 14}
1819958377 1642482194 {'positive': 0, 'negative': 1, 'total': 40}
1819994035 1642482194 {'positive': 1, 'negative': 0, 'total': 27}
1820054452 1642482194 {'positive': 0, 'negative': 2, 'total': 76}
1654754317 1642482194 {'positive': 1, 'negative': 0, 'total': 45}
1654849555 1642482194 {'positive': 1, 'negative': 1, 'total': 133}
1654845823 1642482194 {'positive': 2, 'negative': 1, 'total': 79}
1820060305 1642482194 {'positive': 1, 'negative': 0, 'total': 93}
1654690512 1642482194 {'positive': 1, 'negative': 0, 'total': 57}
1654667481 1642482194 {'positive': 1, 'negative': 0, 'total': 44}
1654768680 1642482194 {'positive': 1, 'negative': 0, 'total': 31}
1654822265 1642482194 {'positive': 1, 'negative': 0, 'total': 59}
1654760053 1642482194 {'positive': 1, 'negative': 0, 'total': 51}
1654764004 1642482194 {'positive': 1, 'negative': 0, 'total': 49}
1654799567 1642482194 {'positive': 1, 'negative': 0, 'total': 127}
1656263662 1642482194 {'positive': 2, 'negative': 0, 'total': 14}
1654693390 1642482194 {'positive': 0, 'negative': 1, 'total': 61}
1654707807 1642482194 {'positive': 0, 'negative': 1, 'total': 56}
1654637314 1642482194 {'positive': 0, 'negative': 1, 'total': 40}
1654725695 1642482194 {'positive': 1, 'negative': 0, 'total': 99}
1819972413 1642482194 {'positive': 1, 'negative': 0, 'total': 39}
1654720103 1642482194 {'positive': 1, 'negative': 0, 'total': 84}
1654797042 1642482194 {'positive': 0, 'negative': 1, 'total': 17}
1654808760 1642482194 {'positive': 0, 'negative': 1, 'total': 28}
1654780317 1642482194 {'positive': 1, 'negative': 0, 'total': 45}
1654745385 1642482194 {'positive': 1, 'negative': 0, 'total': 4}
1819928333 1642482194 {'positive': 0, 'negative': 1, 'total': 128}
1819975811 1642482194 {'positive': 0, 'negative': 1, 'total': 106}
1654796774 1642482194 {'positive': 1, 'negative': 0, 'total': 71}
1820044605 1642482194 {'positive': 2, 'negative': 0, 'total': 103}
1691000412 1642482194 {'positive': 1, 'negative': 0, 'total': 21}
1692779702 1642482194 {'positive': 1, 'negative': 0, 'total': 7}
1692875913 1642482194 {'positive': 0, 'negative': 2, 'total': 10}
1689131454 1642482194 {'positive': 0, 'negative': 1, 'total': 16}
1692765962 1642482194 {'positive': 1, 'negative': 0, 'total': 31}
1690796933 1642482194 {'positive': 2, 'negative': 1, 'total': 16}
1689178411 1642482194 {'positive': 1, 'negative': 1, 'total': 21}
1690996037 1642482194 {'positive': 1, 'negative': 0, 'total': 15}
1689121402 1642482194 {'positive': 0, 'negative': 1, 'total': 13}
1690741785 1642482194 {'positive': 1, 'negative': 0, 'total': 2}
1689118081 1642482194 {'positive': 0, 'negative': 1, 'total': 21}
1690613612 1642482194 {'positive': 0, 'negative': 1, 'total': 33}
1690643233 1642482194 {'positive': 1, 'negative': 0, 'total': 32}
1690719202 1642482194 {'positive': 1, 'negative': 0, 'total': 11}
1692740170 1642482194 {'positive': 1, 'negative': 0, 'total': 12}
1689138192 1642482194 {'positive': 1, 'negative': 0, 'total': 7}
1691007675 1642482194 {'positive': 1, 'negative': 0, 'total': 21}
1690911754 1642482194 {'positive': 2, 'negative': 0, 'total': 22}
1692769643 1642482194 {'positive': 1, 'negative': 0, 'total': 13}
1688947125 1642482194 {'positive': 1, 'negative': 0, 'total': 14}
1690865345 1642482194 {'positive': 0, 'negative': 1, 'total': 16}
1690900610 1642482194 {'positive': 1, 'negative': 0, 'total': 10}
1689108960 1642482194 {'positive': 0, 'negative': 1, 'total': 21}
1692859943 1642482194 {'positive': 1, 'negative': 0, 'total': 17}
1690973551 1642482194 {'positive': 1, 'negative': 0, 'total': 1}
1691054495 1642482194 {'positive': 1, 'negative': 0, 'total': 22}
1689048181 1642482194 {'positive': 1, 'negative': 0, 'total': 14}
1689130787 1642482194 {'positive': 1, 'negative': 0, 'total': 10}
1642417297 1194329420 {'positive': 1, 'negative': 0, 'total': 1}
1654795904 1194329420 {'positive': 0, 'negative': 1, 'total': 92}
1642634671 1889213710 {'positive': 1, 'negative': 0, 'total': 2}
1646518715 1889213710 {'positive': 1, 'negative': 0, 'total': 1}
1808786934 1889213710 {'positive': 1, 'negative': 0, 'total': 8}
1808046722 1889213710 {'positive': 1, 'negative': 0, 'total': 17}
1648664373 1889213710 {'positive': 0, 'negative': 1, 'total': 32}
1648771961 1889213710 {'positive': 1, 'negative': 0, 'total': 22}
1807986404 1889213710 {'positive': 1, 'negative': 0, 'total': 69}
1648527411 1889213710 {'positive': 0, 'negative': 1, 'total': 17}
1648537305 1889213710 {'positive': 1, 'negative': 0, 'total': 11}
1807995410 1889213710 {'positive': 1, 'negative': 0, 'total': 11}
1648582927 1889213710 {'positive': 1, 'negative': 0, 'total': 42}
1648609850 1889213710 {'positive': 1, 'negative': 0, 'total': 7}
1808039084 1889213710 {'positive': 0, 'negative': 1, 'total': 7}
1808064650 1889213710 {'positive': 1, 'negative': 0, 'total': 13}
1808852430 1889213710 {'positive': 0, 'negative': 1, 'total': 18}
1654670710 1889213710 {'positive': 1, 'negative': 0, 'total': 52}
1654696652 1889213710 {'positive': 1, 'negative': 0, 'total': 57}
1654727647 1889213710 {'positive': 1, 'negative': 0, 'total': 23}
1654773762 1889213710 {'positive': 1, 'negative': 0, 'total': 69}
1820012364 1889213710 {'positive': 0, 'negative': 1, 'total': 81}
1819125741 1889213710 {'positive': 0, 'negative': 1, 'total': 147}
1654764004 1889213710 {'positive': 0, 'negative': 1, 'total': 49}
1819045984 1889213710 {'positive': 1, 'negative': 0, 'total': 89}
1654734003 1889213710 {'positive': 0, 'negative': 1, 'total': 47}
1819941633 1889213710 {'positive': 1, 'negative': 0, 'total': 150}
1654782224 1889213710 {'positive': 1, 'negative': 0, 'total': 68}
1654809764 1889213710 {'positive': 1, 'negative': 0, 'total': 53}
1820054704 1889213710 {'positive': 1, 'negative': 1, 'total': 121}
1654683760 1889213710 {'positive': 1, 'negative': 0, 'total': 104}
1654648811 1889213710 {'positive': 1, 'negative': 0, 'total': 35}
1654730004 1889213710 {'positive': 1, 'negative': 0, 'total': 69}
1819945431 1889213710 {'positive': 1, 'negative': 0, 'total': 91}
1654889053 1889213710 {'positive': 0, 'negative': 1, 'total': 23}
1654680060 1889213710 {'positive': 1, 'negative': 0, 'total': 43}
1688945897 1889213710 {'positive': 0, 'negative': 1, 'total': 34}
1688967821 1889213710 {'positive': 1, 'negative': 0, 'total': 21}
1689129695 1889213710 {'positive': 1, 'negative': 0, 'total': 17}
1690778050 1889213710 {'positive': 1, 'negative': 0, 'total': 5}
1690782185 1889213710 {'positive': 0, 'negative': 1, 'total': 72}
1690899507 1889213710 {'positive': 1, 'negative': 0, 'total': 34}
1642673565 1400200584 {'positive': 1, 'negative': 0, 'total': 1}
1642808292 1266321801 {'positive': 1, 'negative': 0, 'total': 1}
1642543183 1266321801 {'positive': 0, 'negative': 1, 'total': 3}
1648431554 1266321801 {'positive': 1, 'negative': 0, 'total': 15}
1807966464 1266321801 {'positive': 0, 'negative': 1, 'total': 16}
1648475324 1266321801 {'positive': 2, 'negative': 0, 'total': 23}
1648480757 1266321801 {'positive': 1, 'negative': 0, 'total': 27}
1807969950 1266321801 {'positive': 1, 'negative': 0, 'total': 4}
1648537910 1266321801 {'positive': 0, 'negative': 1, 'total': 10}
1648590660 1266321801 {'positive': 1, 'negative': 0, 'total': 35}
1808062731 1266321801 {'positive': 1, 'negative': 0, 'total': 19}
1648665570 1266321801 {'positive': 1, 'negative': 0, 'total': 9}
1648664373 1266321801 {'positive': 1, 'negative': 0, 'total': 32}
1808796422 1266321801 {'positive': 0, 'negative': 1, 'total': 13}
1808822101 1266321801 {'positive': 1, 'negative': 0, 'total': 36}
1648750485 1266321801 {'positive': 1, 'negative': 0, 'total': 28}
1808818284 1266321801 {'positive': 1, 'negative': 0, 'total': 17}
1808851154 1266321801 {'positive': 1, 'negative': 0, 'total': 13}
1807983964 1266321801 {'positive': 1, 'negative': 0, 'total': 32}
1807991080 1266321801 {'positive': 1, 'negative': 0, 'total': 12}
